Date,TotalSales,InvoiceCount,ItemCount,AOV,Forecast,Best,Worst
2010-12-31,748268.98,1447.0,314160.0,10447.219711426817,748268.98,1333243.0570429675,410070.89571975876
2011-03-31,1577548.21,3274.0,850978.0,35852.771305504364,1577548.21,3275860.046576357,341399.2377818818
2011-06-30,1735342.791,4059.0,903153.0,30353.99270412352,1735342.791,3452524.7590938723,496051.65512424614
2011-09-30,2107118.793,4192.0,1146208.0,38144.916738164684,2107118.793,3843170.892611387,760549.0695366707
2011-12-31,5383251.47,9526.0,2715489.0,68812.86264943343,4896761.362137434,7349878.459414395,2818726.003774072
